"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-17",,"90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-18","0.94","90","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-19","0.00",,"77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-20","0.04","92","79"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-21","0.00","90","78"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-22",,,"80"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-23","0.04","93","78"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-24","0.51",,
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-25","0.24","90",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-26",,,"73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-27","0.31","90","77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-28","0.28","87","77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-29","0.28",,
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-30","0.39","88","77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-05-31","0.03","89","77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-01","0.12","88",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-02","1.22","88","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-03","0.20","86","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-04","1.02",,"76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-05","0.35","86","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-06","1.18",,
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-07","1.81","89",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-08","1.81",,"76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-09","0.47","87",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-10","0.47","88","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-11","0.20","88","78"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-12","0.00","88",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-13","0.47","89",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-14","0.79","86","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-15","0.00","88","77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-16","0.01","89",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-17","1.34",,"75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-18","0.08","88","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-19","0.31","87",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-20","0.98","88",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-21","0.20","87","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-22","1.61","85","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-23","0.20",,"75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-24","0.00","88","77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-25","0.31","89","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-26","0.20",,"75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-27","0.00","89",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-28","0.31","89","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-29","0.08","89","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-06-30","0.00","88","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-01",,"90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-02",,"90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-03",,"90","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-04",,"90","77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-05",,"90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-06",,"90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-07","0.28","90","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-08","0.39","88","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-09","0.59","87","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-10","0.63","86","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-11","0.55","83","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-12","0.24","85","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-13","0.02","87","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-14","0.02","87","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-15","0.67","88","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-16","1.30",,
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-17","0.59",,"71"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-18","0.31","88","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-19","0.04","87","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-20","0.28",,"76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-21","0.00","86","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-22","0.00","89","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-23","0.00","88","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-24","0.02","88","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-25","0.24","88","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-26","0.08","88",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-27","0.04","89","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-28","0.00","89","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-29",,"88","77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-30","0.01","87",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-07-31","3.58","87","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-01","2.60",,"74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-02","0.04",,"75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-03","0.00","88","78"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-04",,"88","77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-05","0.00","88",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-06","0.00","87","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-07","0.24","87","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-08","0.55","86","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-09","2.20",,"72"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-10","1.73","87","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-11","0.12",,"74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-12","0.16","88","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-13","0.83","84","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-14","0.91","87",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-15","5.47","87","71"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-16","1.65","81","71"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-17","1.18","82","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-18","0.94","83","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-19","0.08",,"73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-20","0.08",,"74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-21","0.02",,"75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-22","0.04","89","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-23","0.00","91","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-24",,"91","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-25",,"90","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-08-26",,"90","75"
